
To Kill a Mockingbird,Harper Lee,Roman,1960,5
1984,George Orwell,Distopie,1949,6
The Lord of the Rings,J.R.R. Tolkien,Fantasy,1954,5
The Catcher in the Rye,J.D. Salinger,Roman,1951,4
The Great Gatsby,F. Scott Fitzgerald,Roman,1925,5
One Hundred Years of Solitude,Gabriel Garcia Marquez,Roman,1967,4
Brave New World,Aldous Huxley,Distopie,1932,4
Animal Farm,George Orwell,Distopie,1945,5
The Grapes of Wrath,John Steinbeck,Roman,1939,3
Ulysses,James Joyce,Roman,1922,2
Don Quixote,Miguel de Cervantes,Roman,1605,3
Moby Dick,Herman Melville,Aventuri,1851,3
Crime and Punishment,Fyodor Dostoevsky,Roman,1866,4
The Brothers Karamazov,Fyodor Dostoevsky,Roman,1880,3
War and Peace,Leo Tolstoy,Roman,1869,2
Anna Karenina,Leo Tolstoy,Roman,1878,4
The Master and Margarita,Mikhail Bulgakov,Roman,1967,5
In Search of Lost Time,Marcel Proust,Roman,1913,2
The Odyssey,Homer,Poezie epica,762,3
The Iliad,Homer,Poezie epica,750,3
Hamlet,William Shakespeare,Drama,1603,5
Macbeth,William Shakespeare,Drama,1606,5
Romeo and Juliet,William Shakespeare,Drama,1597,6
Pride and Prejudice,Jane Austen,Roman,1813,6
Jane Eyre,Charlotte Bronte,Roman,1847,4
Wuthering Heights,Emily Bronte,Roman,1847,4
Great Expectations,Charles Dickens,Roman,1861,4
A Tale of Two Cities,Charles Dickens,Roman,1859,3
Oliver Twist,Charles Dickens,Roman,1837,4
Les Miserables,Victor Hugo,Roman,1862,3
The Hunchback of Notre-Dame,Victor Hugo,Roman,1831,3
The Count of Monte Cristo,Alexandre Dumas,Aventuri,1844,4
The Three Musketeers,Alexandre Dumas,Aventuri,1844,4
Madame Bovary,Gustave Flaubert,Roman,1857,3
The Little Prince,Antoine de Saint-Exupery,Fictiune,1943,8
The Trial,Franz Kafka,Roman,1925,3
The Metamorphosis,Franz Kafka,Nuvele,1915,4
Lolita,Vladimir Nabokov,Roman,1955,3
The Divine Comedy,Dante Alighieri,Poezie,1320,2
Faust,Johann Wolfgang von Goethe,Drama,1808,3
Don Juan,Lord Byron,Poezie,1824,2
Frankenstein,Mary Shelley,Horror,1818,5
Dracula,Bram Stoker,Horror,1897,6
The Picture of Dorian Gray,Oscar Wilde,Roman,1890,5
Adventures of Huckleberry Finn,Mark Twain,Aventuri,1884,4
The Adventures of Tom Sawyer,Mark Twain,Aventuri,1876,4
Treasure Island,Robert Louis Stevenson,Aventuri,1883,5
Robinson Crusoe,Daniel Defoe,Aventuri,1719,3
Gulliver's Travels,Jonathan Swift,Satira,1726,3
Alice's Adventures in Wonderland,Lewis Carroll,Fantezii,1865,6
Through the Looking-Glass,Lewis Carroll,Fantezii,1871,5
The Wizard of Oz,L. Frank Baum,Fantezii,1900,5
Peter Pan,J.M. Barrie,Fantezii,1911,6
Winnie the Pooh,A.A. Milne,Fictiune pentru copii,1926,7
Harry Potter and the Philosopher's Stone,J.K. Rowling,Fantasy,1997,8
Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy,1998,7
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy,1999,7
Harry Potter and the Goblet of Fire,J.K. Rowling,Fantasy,2000,6
The Hobbit,J.R.R. Tolkien,Fantasy,1937,7
The Chronicles of Narnia,C.S. Lewis,Fantasy,1950,6
Dune,Frank Herbert,Stiinta fictiune,1965,5
Fahrenheit 451,Ray Bradbury,Distopie,1953,5
The Hitchhiker's Guide to the Galaxy,Douglas Adams,Stiinta fictiune,1979,5
Foundation,Isaac Asimov,Stiinta fictiune,1951,4
I Robot,Isaac Asimov,Stiinta fictiune,1950,4
Do Androids Dream of Electric Sheep,Philip K. Dick,Stiinta fictiune,1968,4
Slaughterhouse-Five,Kurt Vonnegut,Stiinta fictiune,1969,4
Catch-22,Joseph Heller,Satira,1961,4
The Sun Also Rises,Ernest Hemingway,Roman,1926,4
A Farewell to Arms,Ernest Hemingway,Roman,1929,3
For Whom the Bell Tolls,Ernest Hemingway,Roman,1940,3
Of Mice and Men,John Steinbeck,Nuvele,1937,5
East of Eden,John Steinbeck,Roman,1952,4
On the Road,Jack Kerouac,Roman,1957,4
The Old Man and the Sea,Ernest Hemingway,Roman,1952,5
Beloved,Toni Morrison,Roman,1987,4
The Sound and the Fury,William Faulkner,Roman,1929,3
As I Lay Dying,William Faulkner,Roman,1930,3
Invisible Man,Ralph Ellison,Roman,1952,3
Their Eyes Were Watching God,Zora Neale Hurston,Roman,1937,3
Gone with the Wind,Margaret Mitchell,Roman,1936,5
Rebecca,Daphne du Maurier,Thriller,1938,5
And Then There Were None,Agatha Christie,Mister,1939,6
Murder on the Orient Express,Agatha Christie,Mister,1934,6
The Hound of the Baskervilles,Arthur Conan Doyle,Mister,1902,5
Sherlock Holmes,Arthur Conan Doyle,Mister,1887,6
The Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,Horror,1886,4
The War of the Worlds,H.G. Wells,Stiinta fictiune,1898,4
The Time Machine,H.G. Wells,Stiinta fictiune,1895,4
A Clockwork Orange,Anthony Burgess,Distopie,1962,4
Lord of the Flies,William Golding,Roman,1954,5
The Remains of the Day,Kazuo Ishiguro,Roman,1989,3
Midnight's Children,Salman Rushdie,Roman,1981,3
Blindness,Jose Saramago,Roman,1995,3
The Alchemist,Paulo Coelho,Fictiune,1988,7
Siddhartha,Hermann Hesse,Fictiune,1922,4
Steppenwolf,Hermann Hesse,Roman,1927,3
The Name of the Rose,Umberto Eco,Mister,1980,4
